DATE,PITGCG01USQ661N,chngPPI,chngPPIt-1,lagPPI
7/1/92,59.82710814,0.407762009,,lagPPI
10/1/92,59.94128201,0.11417387,0.407762009,59.82710814
1/1/93,60.08807699,0.146794976,0.11417387,59.94128201
4/1/93,60.77312021,0.685043223,0.146794976,60.08807699
7/1/93,60.08807699,-0.685043223,0.685043223,60.77312021
10/1/93,59.82710814,-0.260968847,-0.685043223,60.08807699
1/1/94,59.9086609,0.081552765,-0.260968847,59.82710814
4/1/94,60.16962975,0.260968847,0.081552765,59.9086609
7/1/94,60.64263579,0.473006035,0.260968847,60.16962975
10/1/94,60.52846191,-0.11417387,0.473006035,60.64263579
1/1/95,60.90360463,0.375142717,-0.11417387,60.52846191
4/1/95,61.50709509,0.603490458,0.375142717,60.90360463
7/1/95,61.62126896,0.11417387,0.603490458,61.50709509
10/1/95,61.8496167,0.228347741,0.11417387,61.62126896
1/1/96,62.32262274,0.473006035,0.228347741,61.8496167
4/1/96,63.28494536,0.962322623,0.473006035,62.32262274
7/1/96,63.72533029,0.440384929,0.962322623,63.28494536
10/1/96,64.18202577,0.456695482,0.440384929,63.72533029
1/1/97,63.93736748,-0.244658294,0.456695482,64.18202577
4/1/97,63.57853531,-0.358832164,-0.244658294,63.93736748
7/1/97,63.69270918,0.11417387,-0.358832164,63.57853531
10/1/97,63.64377752,-0.048931659,0.11417387,63.69270918
1/1/98,62.73038656,-0.913390964,-0.048931659,63.64377752
4/1/98,63.04028707,0.309900506,-0.913390964,62.73038656
7/1/98,63.2360137,0.195726635,0.309900506,63.04028707
10/1/98,63.31756647,0.081552765,0.195726635,63.2360137
1/1/99,63.30125591,-0.016310553,0.081552765,63.31756647
4/1/99,64.14940466,0.848148752,-0.016310553,63.30125591
7/1/99,65.22590116,1.076496493,0.848148752,64.14940466
10/1/99,65.74783885,0.521937694,1.076496493,65.22590116
1/1/00,66.26977655,0.521937694,0.521937694,65.74783885
4/1/00,67.36258359,1.092807046,0.521937694,66.26977655
7/1/00,68.12917958,0.766595988,1.092807046,67.36258359
10/1/00,68.71635948,0.587179905,0.766595988,68.12917958
1/1/01,69.51557658,0.799217093,0.587179905,68.71635948
4/1/01,70.24955146,0.733974882,0.799217093,69.51557658
7/1/01,69.43402381,-0.815527646,0.733974882,70.24955146
10/1/01,67.73772631,-1.696297504,-0.815527646,69.43402381
1/1/02,67.46044691,-0.2772794,-1.696297504,67.73772631
4/1/02,68.16180069,0.701353776,-0.2772794,67.46044691
7/1/02,68.37383787,0.212037188,0.701353776,68.16180069
10/1/02,68.76529114,0.39145327,0.212037188,68.37383787
1/1/03,70.49420975,1.72891861,0.39145327,68.76529114
4/1/03,70.54314141,0.048931659,1.72891861,70.49420975
7/1/03,71.34235851,0.799217093,0.048931659,70.54314141
10/1/03,71.92953841,0.587179905,0.799217093,71.34235851
1/1/04,72.51671832,0.587179905,0.587179905,71.92953841
4/1/04,74.19670527,1.679986952,0.587179905,72.51671832
7/1/04,74.34350024,0.146794976,1.679986952,74.19670527
10/1/04,75.82776056,1.484260316,0.146794976,74.34350024
1/1/05,76.34969825,0.521937694,1.484260316,75.82776056
4/1/05,77.60561083,1.255912575,0.521937694,76.34969825
7/1/05,79.35083999,1.745229163,1.255912575,77.60561083
10/1/05,80.73723699,1.386396999,1.745229163,79.35083999
1/1/06,80.44364704,-0.293589953,1.386396999,80.73723699
4/1/06,81.83004404,1.386396999,-0.293589953,80.44364704
7/1/06,82.04208123,0.212037188,1.386396999,81.83004404
10/1/06,80.54151036,-1.500570869,0.212037188,82.04208123
1/1/07,81.9115968,1.370086446,-1.500570869,80.54151036
4/1/07,85.12477573,3.213178927,1.370086446,81.9115968
7/1/07,85.46729734,0.342521611,3.213178927,85.12477573
10/1/07,87.01679987,1.549502528,0.342521611,85.46729734
1/1/08,88.8435818,1.826781928,1.549502528,87.01679987
4/1/08,92.95384114,4.110259338,1.826781928,88.8435818
7/1/08,95.15576578,2.201924645,4.110259338,92.95384114
10/1/08,87.65291143,-7.502854347,2.201924645,95.15576578
1/1/09,85.66302398,-1.989887457,-7.502854347,87.65291143
4/1/09,87.26145816,1.598434187,-1.989887457,85.66302398
7/1/09,88.27271244,1.011254282,1.598434187,87.26145816
10/1/09,89.36551949,1.092807046,1.011254282,88.27271244
1/1/10,91.32278584,1.957266351,1.092807046,89.36551949
4/1/10,92.35035068,1.027564834,1.957266351,91.32278584
7/1/10,92.62763008,0.2772794,1.027564834,92.35035068
10/1/10,93.80198989,1.174359811,0.2772794,92.62763008
1/1/11,97.14565324,3.34366335,1.174359811,93.80198989
4/1/11,100.5871799,3.441526668,3.34366335,97.14565324
7/1/11,100.7339749,0.146794976,3.441526668,100.5871799
10/1/11,99.91844724,-0.815527646,0.146794976,100.7339749
1/1/12,100.8481488,0.929701517,-0.815527646,99.91844724
4/1/12,101.2885337,0.440384929,0.929701517,100.8481488
7/1/12,102.1693035,0.880769858,0.440384929,101.2885337
10/1/12,101.7615397,-0.407763823,0.880769858,102.1693035
1/1/13,102.4628935,0.701353776,-0.407763823,101.7615397
4/1/13,103.0011417,0.538248247,0.701353776,102.4628935
7/1/13,103.5883216,0.587179905,0.538248247,103.0011417
10/1/13,102.5281357,-1.06018594,0.587179905,103.5883216
1/1/14,104.159191,1.631055293,-1.06018594,102.5281357
4/1/14,106.3774262,2.218235198,1.631055293,104.159191
7/1/14,106.4916001,0.11417387,2.218235198,106.3774262
10/1/14,103.1479367,-3.34366335,0.11417387,106.4916001
1/1/15,99.29864622,-3.849290491,-3.34366335,103.1479367
4/1/15,101.2232915,1.924645245,-3.849290491,99.29864622
7/1/15,101.3211548,0.097863318,1.924645245,101.2232915
10/1/15,98.15690752,-3.164247268,0.097863318,101.3211548
1/1/16,96.70526831,-1.451639211,-3.164247268,98.15690752
4/1/16,98.49942913,1.794160822,-1.451639211,96.70526831
7/1/16,99.39650954,0.897080411,1.794160822,98.49942913
10/1/16,99.29864622,-0.097863318,0.897080411,99.39650954
1/1/17,100.9949437,1.696297504,-0.097863318,99.29864622
4/1/17,102.152993,1.158049258,1.696297504,100.9949437
7/1/17,102.8217257,0.66873267,1.158049258,102.152993
10/1/17,103.5557005,0.733974882,0.66873267,102.8217257
1/1/18,104.5669548,1.011254282,0.733974882,103.5557005
4/1/18,106.5894634,2.022508563,1.011254282,104.5669548
7/1/18,107.2908172,0.701353776,2.022508563,106.5894634
10/1/18,105.9696624,-1.321154787,0.701353776,107.2908172
1/1/19,104.5995759,-1.370086446,-1.321154787,105.9696624
4/1/19,107.5191649,2.919588974,-1.370086446,104.5995759
7/1/19,106.9809167,-0.538248247,2.919588974,107.5191649
10/1/19,106.6220845,-0.358832164,-0.538248247,106.9809167
1/1/20,105.2356875,-1.386396999,-0.358832164,106.6220845
,,,-1.386396999,105.2356875