births,UNRATE,PCE,AAA,BAA,INDPRO,PSAVERT,HOUST,CIVPART,EXUSEU,BAA10YM,UMCSENT,INTDSRUSM193N,PPIACO,BUSLOANS,TOTALSA,DSPIC96,MICH,TCU,DPSACBM027NBOG,PI,DGORDER,DSPI,JTSJOL,USEPUINDXM,TTLCONS,PMSAVE,WPSFD49207,BUSINV
-100.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.5,-100.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0
-100.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0
-100.0,-99.0,-100.0,-99.93222082852397,-100.0,-100.0,-99.0,-99.0001535980549,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0
-100.0,-99.0,-100.0,-99.06777917147603,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0
-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.99999626046906,-100.0,-100.0
-100.0,-99.0,-100.0,-99.06777917147603,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-99.5,-99.0,-100.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.99110650925216,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.99999934467807,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.9998464019451,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-99.5,-99.0,-99.5,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.00810315531466,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-99.5,-99.99999963957391,-99.0,-100.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-99.5,-100.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-99.00000065532193,-100.0,-100.0,-100.0,-100.0,-100.0,-99.00889349074784,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-99.5,-100.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.99999985374119,-99.0999123286662,-100.0,-100.0,-100.0,-99.0,-100.0,-99.5,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-99.5,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-99.9999999089916,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.99999999999996,-99.0,-99.0,-100.0,-100.0,-100.0
-99.0,-99.0,-100.0,-100.0,-99.9991109747009,-100.0,-100.0,-99.0,-99.5,-100.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0
-99.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.8849303297783,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0
-99.0,-99.0,-100.0,-100.0,-99.0008890252991,-99.99999999999939,-99.5,-99.0,-100.0,-100.0,-99.0,-99.0,-99.99999996766901,-99.99999999999477,-100.0,-99.0,-100.0,-99.5,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.99541784713239,-100.0
-99.00000005098941,-99.5,-99.9999999849279,-100.0,-100.0,-99.99964243788871,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-99.00000003233099,-99.00015910859015,-99.9999999999924,-99.0,-99.99999999999947,-100.0,-99.0,-99.9999999997221,-99.99999999999643,-100.0,-99.9999999996187,-99.39834959599364,-99.0,-99.0,-99.0,-99.0,-100.0
-99.0,-99.0,-99.97223315832758,-100.0,-100.0,-99.99942800638712,-99.0,-99.0,-99.5,-100.0,-99.99999985374119,-100.0,-99.00000003233099,-100.0,-99.9901837081775,-99.0,-99.79334833444362,-100.0,-99.00000000002261,-99.9998296303776,-99.98080947307439,-99.0,-99.97032714367849,-100.0,-100.0,-99.0,-99.0,-100.0,-99.99999931457475
-99.0,-99.5,-99.02776684167242,-99.0,-99.0,-99.00057199361288,-99.0,-99.0,-99.0,-100.0,-100.0,-99.9000876713338,-99.0,-100.0,-99.0098162918225,-99.81936406712742,-99.0067495357654,-100.0,-99.0,-99.0001703696224,-99.01919052692561,-99.0,-99.02967285632151,-99.0,-100.0,-99.0,-99.0,-99.99999999996358,-99.00000068542525
-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.5,-100.0,-100.0,-100.0,-99.0,-99.00015910859015,-99.0,-99.0,-99.05613577025346,-99.0,-99.0,-99.0,-99.00000000002136,-99.97238752471415,-99.00000000165464,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.5,-99.00945202090048,-100.0,-100.0,-99.0,-99.0,-99.0,-100.0,-99.2066516655563,-99.0,-99.0,-99.0,-99.0,-99.02761247528585,-99.0,-99.0,-100.0,-99.0,-99.14593723616316,-99.0,-99.0
-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-99.0,-99.0,-100.0,-99.00000010109918,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.5,-99.99999999998263,-100.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.00009290435854,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.60165040400636,-99.0,-99.0,-100.0,-99.0,-99.0
-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-99.5,-100.0,-99.0,-99.00000000000414,-99.5,-100.0,-99.0,-99.0,-99.0,-100.0,-99.00066781264276,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.00000059292367,-100.0,-99.0,-99.0
-100.0,-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.5,-99.99054797909952,-99.5,-100.0,-99.0,-99.0,-99.0,-99.18063593287245,-99.0,-99.5,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.00000009354568,-99.0
-100.0,-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.5,-100.0,-99.0,-99.0,-99.00000001384711,-99.0,-99.0,-100.0,-100.0,-100.0,-100.0,-99.0
-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.00000000098659,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.00458215286761,-99.0
-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.00000000000912,-99.0,-99.0
-100.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.5,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.1150696702217,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.99999999993776,-99.29909359197352,-99.0,-99.0
-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.99999940707633,-99.0,-99.0,-99.0
-99.00001016097058,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.5,-99.99999999999999,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.00000000216227,-99.0,-99.0,-99.0
-99.99998983902942,-100.0,-99.0,-99.06777917147603,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.99999985374119,-100.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0
-99.0,-100.0,-99.0,-99.06777917147603,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.00055937717146,-99.0,-99.0,-99.0,-99.0
-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.99999999999825,-99.0,-99.0,-99.0,-99.0
-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-99.5,-100.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0
-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0
-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.99999996766901,-99.0,-99.0,-100.0,-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.70090640802648,-99.0,-99.0
-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.5,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0
-99.99999999999994,-99.5,-99.0,-99.99999999999996,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0
-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.5,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.9999977565912,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.11132492503926,-99.0,-99.0
-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.5,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.5,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-99.0,-99.0,-99.01970032764807,-99.0,-100.0,-99.5,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-99.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.5,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0000000022851,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.00011995926805,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.75727787261376,-99.0,-100.0,-100.0,-99.36330055976873,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-99.0
-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.99738067222476,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-100.0
-100.0,-99.0,-99.00000004706267,-99.9999999999609,-99.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-100.0
-100.0,-99.0,-99.02347308242426,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.99975506800216,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.2078845067958,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-100.0
-100.0,-99.0,-99.00000014495224,-99.00000000001901,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.99989660554711,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-100.0
-100.0,-99.0,-99.0,-99.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-100.0
-100.0,-99.0,-99.0,-100.0,-99.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0000011539251,-99.0001257064214,-100.0,-99.0,-100.0,-100.0,-99.0,-99.62935142497176,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-100.0
-100.0,-99.0,-99.0,-100.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-100.0,-100.0,-99.0,-99.29443190272679,-100.0,-99.0,-100.0,-99.0,-100.0,-99.0,-99.0,-100.0
