Year,Period,Label,deathrate,percent change in gdp,percent change in commercial and industrial loans,nonfarm labor share,deliquency rate of comm and ind loans,civ unemply rate,M1V
1992,Q03,7/1/92,154,6.1,-3.2,111.002,5.25,7.722782324,6.735
1992,Q04,10/1/92,159,7.1,-1.1,110.092,4.76,7.558866023,6.584
1993,Q01,1/1/93,167,2.9,-2.2,109.469,4.41,7.248028086,6.508
1993,Q02,4/1/93,160,4.8,-3.5,110.316,4.01,7.188332035,6.406
1993,Q03,7/1/93,148,4.4,-0.9,109.553,3.61,6.909896501,6.289
1993,Q04,10/1/93,154,7.9,-1.8,109.324,3.05,6.766792213,6.25
1994,Q01,1/1/94,164,5.9,4.4,107.993,2.79,6.642259721,6.264
1994,Q02,4/1/94,162,7.6,9.9,108.306,2.4,6.251687685,6.339
1994,Q03,7/1/94,156,4.7,10.9,108.217,2.22,6.058349837,6.369
1994,Q04,10/1/94,174,7,10.8,107.359,2.18,5.676887203,6.479
1995,Q01,1/1/95,161,3.6,15.6,107.471,2.12,5.525824118,6.55
1995,Q02,4/1/95,167,3.2,11.9,107.391,2.1,5.745052136,6.614
1995,Q03,7/1/95,168,5.5,10,107.646,2.07,5.716695634,6.714
1995,Q04,10/1/95,174,4.7,5.1,107.659,2.07,5.624056349,6.86
1996,Q01,1/1/96,173,5,7.2,107.818,2.06,5.609201496,7.016
1996,Q02,4/1/96,171,8.6,6.8,107.344,2.06,5.539475929,7.18
1996,Q03,7/1/96,174,5,7.3,107.395,2.01,5.333515819,7.369
1996,Q04,10/1/96,175,6.5,11.4,107.371,1.95,5.349826794,7.623
1997,Q01,1/1/97,180,5.1,8.7,108.202,1.9,5.297524346,7.761
1997,Q02,4/1/97,175,7.7,10.2,107.241,1.81,5.046185602,8.002
1997,Q03,7/1/97,173,6.9,7.9,107.045,1.72,4.911541108,8.102
1997,Q04,10/1/97,189,4.8,8.4,108.191,1.7,4.706006529,8.195
1998,Q01,1/1/98,186,4.7,10.6,109.31,1.81,4.721931294,8.238
1998,Q02,4/1/98,173,4.7,8.4,110.011,1.73,4.474598128,8.326
1998,Q03,7/1/98,185,6.9,12.7,109.977,1.77,4.572529407,8.469
1998,Q04,10/1/98,188,7.8,14.7,109.833,1.87,4.427564749,8.511
1999,Q01,1/1/99,194,5.4,0.4,110.086,1.97,4.34039574,8.584
1999,Q02,4/1/99,192,4.6,2.1,109.941,2,4.29061745,8.645
1999,Q03,7/1/99,194,6.8,9.4,109.595,2.06,4.271152097,8.816
1999,Q04,10/1/99,189,9.3,10.2,109.594,1.99,4.105619807,8.902
2000,Q01,1/1/00,196,4.2,9.2,113.185,2.11,4.08922536,8.989
2000,Q02,4/1/00,189,10.2,14,110.834,2.24,3.985153792,9.251
2000,Q03,7/1/00,209,2.8,8.4,112.335,2.33,4.056634084,9.372
2000,Q04,10/1/00,204,4.7,3.7,111.378,2.52,3.950719099,9.549
2001,Q01,1/1/01,214,1.3,4.4,113.863,2.65,4.294454399,9.501
2001,Q02,4/1/01,212,4.9,-4.1,111.97,2.94,4.491558156,9.458
2001,Q03,7/1/01,219,-0.1,-8.1,111.333,3.26,4.867656321,9.096
2001,Q04,10/1/01,208,2.4,-10.3,110.728,3.48,5.591812428,9.086
2002,Q01,1/1/02,199,4.9,-7.9,108.936,3.69,5.801610465,9.055
2002,Q02,4/1/02,196,3.9,-9,109.215,3.92,5.915815504,9.155
2002,Q03,7/1/02,193,3.7,-8.2,108.67,3.88,5.781607009,9.205
2002,Q04,10/1/02,200,2.9,-4.3,108.635,3.88,5.938161781,9.14
2003,Q01,1/1/03,194,4.1,-7.2,107.794,3.65,5.955891784,9.056
2003,Q02,4/1/03,194,4.7,-7.5,108.153,3.56,6.225613254,8.932
2003,Q03,7/1/03,191,9.3,-12.1,107.083,3.27,6.148407778,8.941
2003,Q04,10/1/03,191,7.2,-12.3,107.272,2.85,5.938602249,9.046
2004,Q01,1/1/04,193,5.2,-9.5,106.369,2.57,5.776961979,9.039
2004,Q02,4/1/04,196,6.5,-2.1,106.817,2.3,5.651858738,9.062
2004,Q03,7/1/04,196,6.6,7.8,107.548,2.03,5.486124478,9.096
2004,Q04,10/1/04,191,7.3,6.7,106.504,1.82,5.482114888,9.135
2005,Q01,1/1/05,196,7.9,14.4,105.159,1.62,5.335916841,9.317
2005,Q02,4/1/05,192,4.7,14.8,105.184,1.5,5.179519267,9.436
2005,Q03,7/1/05,195,7.4,10.9,104.71,1.47,5.033415073,9.558
2005,Q04,10/1/05,200,5.9,11.5,104.356,1.44,5.020590107,9.692
2006,Q01,1/1/06,195,8.4,13.2,105.045,1.39,4.795242492,9.855
2006,Q02,4/1/06,206,4.4,16.7,104.447,1.3,4.746624843,9.954
2006,Q03,7/1/06,210,3.5,17.9,104.374,1.26,4.703681912,10.124
2006,Q04,10/1/06,207,5,7.8,105.227,1.15,4.515132235,10.252
2007,Q01,1/1/07,205,5,11.1,106.657,1.19,4.579998675,10.393
2007,Q02,4/1/07,215,5,12.8,105.535,1.19,4.565379347,10.455
2007,Q03,7/1/07,216,4.3,18.8,104.537,1.21,4.718583499,10.574
2007,Q04,10/1/07,218,4.1,24.6,104.626,1.3,4.863139975,10.678
2008,Q01,1/1/08,224,-0.8,17.9,106.262,1.44,5.015091566,10.599
2008,Q02,4/1/08,238,4.3,11.4,104.785,1.77,5.416591236,10.602
2008,Q03,7/1/08,233,0.8,7.7,104.676,1.77,6.113962344,10.373
2008,Q04,10/1/08,253,-7.2,13.8,106.193,2.54,6.99688303,9.516
2009,Q01,1/1/09,247,-4.5,-12.1,102.324,3.17,8.392417235,9.132
2009,Q02,4/1/09,238,-1.2,-17,103.25,3.79,9.397327898,8.809
2009,Q03,7/1/09,227,1.9,-27.5,102.371,4.39,9.748328953,8.674
2009,Q04,10/1/09,218,5.9,-23.5,101.236,4.27,10.09244508,8.684
2010,Q01,1/1/10,211,2.6,-20.1,99.683,3.92,9.952444904,8.683
2010,Q02,4/1/10,202,5.7,-14.3,100.09,3.64,9.848475106,8.711
2010,Q03,7/1/10,204,4.2,-3.2,99.837,3.32,9.616711188,8.635
2010,Q04,10/1/10,201,4.3,-0.2,99.468,2.97,9.706072059,8.396
2011,Q01,1/1/11,200,1.2,4.2,101.536,2.43,9.159347554,8.17
2011,Q02,4/1/11,205,5.6,7.8,100.056,2.12,9.221613165,8.013
2011,Q03,7/1/11,196,2.5,10.6,100.513,1.84,9.123140348,7.506
2011,Q04,10/1/11,198,5.4,10.3,98.149,1.65,8.813607839,7.317
2012,Q01,1/1/12,188,5.8,10.7,99.702,1.52,8.345085171,7.238
2012,Q02,4/1/12,194,3.3,11.3,99.366,1.4,8.285019782,7.141
2012,Q03,7/1/12,196,2.6,12.4,99.165,1.26,8.116075763,6.921
2012,Q04,10/1/12,183,2.5,10.1,101.75,1.19,7.977322566,6.713
2013,Q01,1/1/13,193,5.3,8.7,99.493,1.09,7.779217354,6.692
2013,Q02,4/1/13,215,1.7,5.7,100.322,1.04,7.688863157,6.587
2013,Q03,7/1/13,195,5.2,5.8,99.132,0.99,7.417026648,6.584
2013,Q04,10/1/13,187,5.7,6.7,98.386,0.9,7.111160557,6.476
2014,Q01,1/1/14,190,0.5,13.3,100.901,0.89,6.718838027,6.273
2014,Q02,4/1/14,204,7.9,12.1,98.965,0.8,6.312125537,6.225
2014,Q03,7/1/14,199,6.8,11.1,98.259,0.77,6.178093092,6.251
2014,Q04,10/1/14,198,2.9,9.5,99.749,0.73,5.823014204,6.159
2015,Q01,1/1/15,207,3.5,12.9,100.219,0.73,5.597334084,6.033
2015,Q02,4/1/15,211,5,10.8,100.152,0.81,5.528121147,6.071
2015,Q03,7/1/15,207,2.7,8.3,100.211,0.91,5.202605788,6.042
2015,Q04,10/1/15,209,0.7,8.4,100.653,1.04,5.155458999,5.997
2016,Q01,1/1/16,204,2,7.4,100.49,1.48,4.990353692,5.901
2016,Q02,4/1/16,213,4.1,7.5,100.071,1.58,4.993780403,5.782
2016,Q03,7/1/16,214,3.6,3.1,99.843,1.6,4.971645192,5.715
2016,Q04,10/1/16,217,4.6,5,99.731,1.62,4.828973942,5.692
2017,Q01,1/1/17,203,4.4,-1.6,100.152,1.51,4.62667653,5.622
2017,Q02,4/1/17,224,3,-1.1,100.701,1.33,4.414996862,5.545
2017,Q03,7/1/17,225,5,3.5,100.647,1.28,4.402038397,5.508
2017,Q04,10/1/17,216,6.7,3.6,100.989,1.21,4.174430952,5.512
2018,Q01,1/1/18,214,6.2,1.2,100.581,1.1,4.113635696,5.533
2018,Q02,4/1/18,231,6.3,6.9,99.779,1.06,3.982698674,5.634
2018,Q03,7/1/18,231,3.8,6.9,100.37,0.99,3.819798057,5.634
2018,Q04,10/1/18,222,3.3,10.9,100.278,0.97,3.834626733,5.6
2019,Q01,1/1/19,219,4,9.4,101.468,1.15,3.890323184,5.604
2019,Q02,4/1/19,241,4.1,0.6,100.537,1.05,3.668989372,5.633
2019,Q03,7/1/19,233,4,4.3,100.132,1.12,3.700319199,5.582
2019,Q04,10/1/19,0,3.9,0.4,100.3,1.13,3.601596396,5.486
2020,Q01,1/1/20,0,-3.4,9.8,102.46,1.13,3.900805548,5.247
2020,Q02,4/1/20,0,-32.8,88.2,106.352,1.25,13.33118246,1.555
,,7/1/20,0,38.3,-20.3,102.616,1.3,8.755558017,1.248
,,10/1/20,0,6.1,-22.4,103.745,1.3,6.962289309,1.22